,Sharpe,HitRate,TotalReturn
Linear,0.7432030138600124,0.4730077120822622,0.16424755729526952
LASSO,1.2634509183722282,0.5938303341902313,0.3740030741135578
RandomForest,0.8167474233464436,0.4241645244215938,0.12890369721682138
